Date,Open,High,Low,Close,Adj Close,Volume
2003-12-30,9.962667,9.984,9.927466,9.9584,7.4320699999999995,677500
2003-12-31,9.973333,9.973333,9.886933,9.968,7.4392309999999995,893300
2004-01-02,9.973333,10.0,9.8912,9.930667,7.411372,810000
2004-01-05,9.941334,10.020267,9.930667,9.994667,7.459135000000001,1215000
2004-01-06,9.994667,9.995733,9.912533999999999,9.949866,7.425699000000001,767500
2004-01-07,9.936,9.973333,9.886933,9.952,7.427293,714300
2004-01-08,9.947733,9.985066,9.858133,9.930667,7.411372,1012500
2004-01-09,9.930667,9.979733,9.898666,9.9488,7.424900999999999,856800
2004-01-12,9.922133,10.021334,9.921066,9.991467,7.456747999999999,1446300
2004-01-13,9.992534,10.032,9.925333,9.9808,7.448786,1099500
2004-01-14,9.9808,10.052267,9.9648,10.034133,7.488586,901800
2004-01-15,10.033066999999999,10.042666,9.972266000000001,10.026667,7.4830190000000005,1007500
2004-01-16,10.048,10.074667,9.9936,10.0256,7.482219000000001,648800
2004-01-20,10.021334,10.069333,10.010667,10.053333,7.502919,870800
2004-01-21,10.056533,10.088533,10.005333,10.043733999999999,7.495752,707300
2004-01-22,10.069333,10.1056,9.994667,10.0672,7.513265,636000
2004-01-23,10.090667,10.2144,10.069333,10.165334,7.586507000000001,673000
2004-01-26,10.1824,10.218667,10.101334,10.199467,7.611978999999999,443300
2004-01-27,10.2016,10.218667,10.144,10.154667,7.578545,534300
2004-01-28,10.186666,10.203733,10.033066999999999,10.071466000000001,7.516449000000001,631000
2004-01-29,10.101334,10.176,10.0608,10.176,7.594463,645000
2004-01-30,10.154667,10.154667,9.941334,9.9648,7.4368419999999995,807300
2004-02-02,9.9712,10.08,9.9584,10.024533,7.4814229999999995,760500
2004-02-03,10.016,10.069333,9.9712,9.984,7.451173,885800
2004-02-04,9.994667,10.037333,9.9392,9.9712,7.4416199999999995,717300
2004-02-05,9.981867,10.154667,9.937066999999999,10.090667,7.53078,705000
2004-02-06,10.0992,10.222934,10.088533,10.2144,7.623125,743300
2004-02-09,10.193067,10.197333,10.048,10.062933000000001,7.510083,455500
2004-02-10,10.062933000000001,10.120533,10.030933000000001,10.082133,7.524411,516800
2004-02-11,10.039467,10.133333,9.962667,10.129066,7.559438,628500
2004-02-12,10.112,10.133333,10.037333,10.037333,7.490972999999999,370000
2004-02-13,10.039467,10.069333,9.928533999999999,10.011733,7.471872,397800
2004-02-17,10.058666,10.184533,10.058666,10.176,7.594463,694000
2004-02-18,10.176,10.3104,10.154667,10.261333,7.658150999999999,965500
2004-02-19,10.208,10.346666,10.208,10.2656,7.661335,609800
2004-02-20,10.325334,10.3744,10.2784,10.282666,7.674073,589500
2004-02-23,10.304,10.474667,10.2592,10.414933,7.772783,623500
2004-02-24,10.417067,10.474667,10.353066,10.442667,7.793479,858800
2004-02-25,10.4448,10.4448,10.321067,10.3872,7.752085000000001,633000
2004-02-26,10.389334,10.429867,10.314667,10.346666,7.7218350000000004,816300
2004-02-27,10.3808,10.504534,10.357333,10.423467,7.779151,630300
2004-03-01,10.453333,10.666667,10.453333,10.656,7.952694999999999,766800
2004-03-02,10.641067,10.6432,10.496,10.549334,7.873088,671500
2004-03-03,10.506667,10.506667,10.391467,10.4512,7.79985,744300
2004-03-04,10.421333,10.453333,10.378667,10.378667,7.779542,589500
2004-03-05,10.378667,10.453333,10.350933,10.389334,7.7875369999999995,714800
2004-03-08,10.4,10.408533,10.289066,10.308266999999999,7.726772,498800
2004-03-09,10.308266999999999,10.357333,10.250667,10.282666,7.707582,536500
2004-03-10,10.282666,10.402133000000001,10.225067,10.225067,7.664408,726300
2004-03-11,10.186666,10.272,10.0992,10.122666,7.587650999999999,739500
2004-03-12,10.112,10.112,9.8688,10.058666,7.539679,712500
2004-03-15,10.048,10.048,9.800533,9.888,7.411753999999999,1128800
2004-03-16,9.909333,10.048,9.888,9.998934,7.494905,900000
2004-03-17,10.026667,10.126933,10.005333,10.107733999999999,7.576459,274500
2004-03-18,10.08,10.1248,9.975467,10.048,7.531683,452500
2004-03-19,9.994667,10.08,9.956266000000001,9.956266000000001,7.462924,561300
2004-03-22,9.962667,9.962667,9.841066,9.898666,7.419746000000001,587500
2004-03-23,9.888,9.9392,9.813334,9.8816,7.406957000000001,581300
2004-03-24,9.856,10.0416,9.8368,9.917867,7.434136,929300
2004-03-25,9.960533,9.962667,9.8112,9.902933,7.4229449999999995,426300
2004-03-26,9.8816,9.9328,9.796267,9.860267,7.390965,416500
2004-03-29,9.856,10.090667,9.819734,10.090667,7.563664,843000
2004-03-30,10.122666,10.2208,10.069333,10.208,7.651615,542500
2004-03-31,10.186666,10.208,10.058666,10.167467,7.621233,732300
2004-04-01,10.197333,10.363733,10.186666,10.338133000000001,7.749160000000001,897000
2004-04-02,10.368,10.498134,10.2272,10.318933,7.734767,1048800
2004-04-05,10.346666,10.357333,10.24,10.327467,7.741161999999999,505500
2004-04-06,10.306133,10.429867,10.250667,10.410666,7.803526,722500
2004-04-07,10.4,10.481067,10.378667,10.4064,7.800331,756800
2004-04-08,10.417067,10.4576,10.336,10.357333,7.763553,491500
2004-04-12,10.389334,10.410666,10.344533,10.368,7.771546000000001,246300
2004-04-13,10.389334,10.3936,10.250667,10.282666,7.707582,483800
2004-04-14,10.261333,10.2976,10.161067,10.229333,7.667607,384800
2004-04-15,10.229333,10.229333,10.112,10.173866,7.62603,414800
2004-04-16,10.346666,10.346666,10.261333,10.282666,7.707582,770500
2004-04-19,10.282666,10.299733,10.210134,10.267733999999999,7.6963919999999995,525300
2004-04-20,10.257067,10.269867,10.165334,10.1696,7.622831,409800
2004-04-21,10.126933,10.212267,10.0736,10.205867,7.650014,643000
2004-04-22,10.205867,10.4064,10.141867,10.378667,7.779542,649800
2004-04-23,10.336,10.336,10.222934,10.308266999999999,7.726772,430000
2004-04-26,10.308266999999999,10.308266999999999,10.190933,10.250667,7.683598,325500
2004-04-27,10.282666,10.353066,10.203733,10.282666,7.707582,393000
2004-04-28,10.272,10.272,9.973333,10.013866,7.506099000000001,708000
2004-04-29,10.048,10.101334,9.981867,10.0224,7.5124949999999995,493500
2004-04-30,10.048,10.097067,9.954133,9.9968,7.493303999999999,467300
2004-05-03,9.975467,10.133333,9.9712,10.133333,7.595648,584300
2004-05-04,10.112,10.112,9.986134,10.062933000000001,7.542877000000001,541800
2004-05-05,10.026667,10.069333,9.962667,10.069333,7.547675999999999,565500
2004-05-06,10.069333,10.101334,9.973333,10.0928,7.565264999999999,351800
2004-05-07,10.069333,10.139733,9.9904,9.992534,7.4901089999999995,381000
2004-05-10,9.962667,10.048,9.915733,9.9328,7.4453320000000005,617500
2004-05-11,9.898666,9.9072,9.7728,9.853867,7.386164999999999,580000
2004-05-12,9.813334,9.838933,9.713067,9.819734,7.360580000000001,687300
2004-05-13,9.834666,9.866667,9.768533999999999,9.845333,7.379772,490000
2004-05-14,9.824,9.8944,9.76,9.856,7.387766,382800
2004-05-17,9.834666,9.930667,9.800533,9.877334,7.403758,527300
2004-05-18,9.898666,9.930667,9.809067,9.9072,7.426143,478800
2004-05-19,9.898666,9.9328,9.856,9.909333,7.427744000000001,746300
2004-05-20,9.856,9.962667,9.828267,9.962667,7.4677229999999994,513000
2004-05-21,10.005333,10.082133,9.947733,10.075733,7.552472,849300
2004-05-24,10.112,10.112,10.0416,10.0736,7.550874,436800
2004-05-25,10.090667,10.24,10.033066999999999,10.229333,7.667607,386300
2004-05-26,10.144,10.2336,10.1248,10.212267,7.6548169999999995,490500
2004-05-27,10.229333,10.282666,10.2016,10.269867,7.697986,711800
2004-05-28,10.272,10.295466000000001,10.205867,10.250667,7.683598,554300
2004-06-01,10.165334,10.397866,10.165334,10.338133000000001,7.749160000000001,667500
2004-06-02,10.368,10.5088,10.338133000000001,10.4576,7.838707,636000
2004-06-03,10.442667,10.56,10.391467,10.4512,7.868097,837300
2004-06-04,10.346666,10.436266999999999,10.346666,10.3552,7.795825,652800
2004-06-07,10.378667,10.449067,10.368,10.449067,7.866491000000001,408000
2004-06-08,10.464,10.551467,10.432,10.549334,7.941978,406800
2004-06-09,10.549334,10.587733,10.440534,10.4704,7.8825520000000004,540300
2004-06-10,10.474667,10.4832,10.325334,10.3552,7.795825,585000
2004-06-14,10.325334,10.427733,10.325334,10.4,7.829555,713500
2004-06-15,10.421333,10.4576,10.382933999999999,10.4064,7.834371000000001,739800
2004-06-16,10.432,10.464,10.417067,10.432,7.853642999999999,363000
2004-06-17,10.453333,10.453333,10.3296,10.378667,7.813492999999999,420800
2004-06-18,10.357333,10.389334,10.197333,10.197333,7.67698,850000
2004-06-21,10.250667,10.340266,10.237866,10.318933,7.768521000000001,442800
2004-06-22,10.282666,10.312533,10.205867,10.24,7.709096000000001,534300
2004-06-23,10.267733999999999,10.289066,10.190933,10.2464,7.713913000000001,638300
2004-06-24,10.261333,10.269867,10.190933,10.197333,7.67698,450000
2004-06-25,10.218667,10.385067,10.197333,10.304,7.757282000000001,2081300
2004-06-28,10.325334,10.421333,10.314667,10.336,7.781372,663000
2004-06-29,10.3424,10.370133000000001,10.282666,10.363733,7.802253,482500
2004-06-30,10.368,10.368,10.197333,10.2976,7.752460000000001,664500
2004-07-01,10.346666,10.410666,10.152534,10.282666,7.7412220000000005,895500
2004-07-02,10.304,10.314667,10.1184,10.1824,7.665732000000001,517500
